,baseUrl,url,title,priceTotal,priceUnit,roomInfo,typeInfo,areaInfo,aroundInfo,introContent,transaction,baseInfo
0,88EE8BA5E1F873FAB2B04023BEC29890,https://bj.ke.com/ershoufang/101127007363.html?fb_expo_id=898141110583975937,东南二环边 小白楼 精装两居室 视野开阔,310.0,万,2室1厅 中楼层/共16层,西 平层/精装,82.94平米 2009年建/塔楼,小区名称 弘善家园 地图 所在区域 朝阳   潘家园  看房时间 可看时间请咨询经纪人 贝壳编号 101127007363 举报 风险提示 贝壳用户风险提示,房屋户型 2室1厅1卫 建筑面积 82.94㎡ 户型结构 平层 建筑类型 塔楼 所在楼层 中楼层 (共16层) 咨询楼层 楼层高度 暂无数据 套内面积 暂无 咨询套内面积 房屋朝向 西 建筑结构 钢混结构 装修情况 精装 梯户比例 三梯十六户 供暖方式 自供暖 配备电梯 有,挂牌时间2024年10月10日 交易权属二类经济适用房 上次交易2024年09月24日 房屋用途普通住宅 房屋年限未满两年 产权所属非共有 抵押信息无抵押 房本备件已上传房本照片,本房源特色 房源特色 VR看装修 核心卖点 此房为一期小白楼 户数少 总高16层环 境优美安静 小区介绍 小区是2009年新建2012年完工的回迁房小区，共有43栋楼，位于东南三环与二环之间，居民多是前门和崇文门的老北京回迁居民，邻里和睦，老北京文化气息浓郁，生活比较便利。 周边配套 小区生活便利，小区门口有欧亚阳光商超，也有兆佳、鼎盛市场、肯德基V等；医院有垂杨柳医院，东方博大医院；银行有工商银行，邮政银行，农业银行等。 交通出行 距离小区东侧600米（数据来源百度地图）有10号线和14号线十里河站双线交汇，公交线路有440路，36路，300路，51路，专19路等，交通出行便捷。 注：1.房源介绍中的周边配套、在建设施、规划设施、地铁信息、绿化率、得房率、容积率等信息为通过物业介绍、房产证、实勘、政府官网等渠道获取，因时间、政策会发生变化，与实际情况可能略有偏差，房源介绍仅供参考。 2.房源介绍中与距离相关的数据均来源于百度地图。 3.土地使用起止年限详见业主土地证明材料或查询相关政府部门的登记文件。
1,88EE8BA5E1F873FAB2B04023BEC29890,https://bj.ke.com/ershoufang/101126887921.html?fb_expo_id=898141110583975938,常营南路45号院小区优质房源,388.0,万,2室1厅 高楼层/共28层,南 平层/简装,70.95平米 2013年建/板塔结合,小区名称 管庄北二里 地图 所在区域 朝阳   常营  看房时间 可看时间请咨询经纪人 贝壳编号 101126887921 举报 风险提示 贝壳用户风险提示,房屋户型 2室1厅1卫 建筑面积 70.95㎡ 户型结构 平层 建筑类型 板塔结合 所在楼层 高楼层 (共28层) 咨询楼层 楼层高度 暂无数据 套内面积 53.85㎡ 房屋朝向 南 建筑结构 钢混结构 装修情况 简装 梯户比例 两梯六户 供暖方式 集中供暖 配备电梯 有,挂牌时间2024年10月03日 交易权属商品房 上次交易2019年12月09日 房屋用途普通住宅 房屋年限满两年 产权所属非共有 抵押信息无抵押 房本备件已上传房本照片,本房源特色 房源特色 满两年 VR看装修 核心卖点 此房满五唯一，业主自住。打理的干净舒适 适宜人群 家有老人：环境适宜，配套齐全 户型介绍 高楼层无遮挡，采光好 装修描述 简装领包入住 注：1.房源介绍中的周边配套、在建设施、规划设施、地铁信息、绿化率、得房率、容积率等信息为通过物业介绍、房产证、实勘、政府官网等渠道获取，因时间、政策会发生变化，与实际情况可能略有偏差，房源介绍仅供参考。 2.房源介绍中与距离相关的数据均来源于百度地图。 3.土地使用起止年限详见业主土地证明材料或查询相关政府部门的登记文件。
2,88EE8BA5E1F873FAB2B04023BEC29890,https://bj.ke.com/ershoufang/101126879411.html?fb_expo_id=898141110583975939,朝新嘉园东里四区 2室1厅 南 北,385.0,万,2室1厅 高楼层/共22层,南 北 平层/简装,93.55平米 2015年建/板楼,小区名称 朝新嘉园东里四区 地图 所在区域 朝阳   东坝  看房时间 可看时间请咨询经纪人 贝壳编号 101126879411 举报 风险提示 贝壳用户风险提示,房屋户型 2室1厅1卫 建筑面积 93.55㎡ 户型结构 平层 建筑类型 板楼 所在楼层 高楼层 (共22层) 咨询楼层 楼层高度 暂无数据 套内面积 73.67㎡ 房屋朝向 南 北 建筑结构 钢混结构 装修情况 简装 梯户比例 两梯四户 供暖方式 集中供暖 配备电梯 有,挂牌时间2024年10月07日 交易权属二类经济适用房 上次交易2018年11月26日 房屋用途普通住宅 房屋年限满五年 产权所属非共有 抵押信息无抵押 房本备件已上传房本照片,本房源特色 房源特色 满五年 VR看装修 随时看房 暂无房源介绍
3,88EE8BA5E1F873FAB2B04023BEC29890,https://bj.ke.com/ershoufang/101126874158.html?fb_expo_id=898141110583975940,康营家园精装两居室，中间楼层采光好，看房方便,300.0,万,2室1厅 中楼层/共7层,南 平层/精装,87.79平米 2023年建/板楼,小区名称 康营家园六区 地图 所在区域 朝阳   中央别墅区  看房时间 可看时间请咨询经纪人 贝壳编号 101126874158 举报 风险提示 贝壳用户风险提示,房屋户型 2室1厅1卫 建筑面积 87.79㎡ 户型结构 平层 建筑类型 板楼 所在楼层 中楼层 (共7层) 咨询楼层 楼层高度 暂无数据 套内面积 暂无 咨询套内面积 房屋朝向 南 建筑结构 钢混结构 装修情况 精装 梯户比例 一梯四户 供暖方式 集中供暖 配备电梯 有,挂牌时间2024年10月01日 交易权属二类经济适用房 上次交易2024年09月01日 房屋用途普通住宅 房屋年限未满两年 产权所属非共有 抵押信息无抵押 房本备件已上传房本照片,本房源特色 房源特色 VR看装修 核心卖点 此房为康营家园六区小区中间位置，中间楼层采光好。 小区介绍 康营家园位于朝阳区孙河板块，小区规模比较大，整体都是带电梯小洋房，户型很好，整个小区都是别墅区围绕着，密度很低，环境适宜居住，生活配套便利，易事达商场，电影院等配套齐全。 适宜人群 此房位于小区中间位置，不临街，大两居，有三居需求的也可以考虑看看，比较适合家里有老人或者家庭成员比较多的家庭。 装修描述 房子是业主自住的标准，装修成本将近30万左右，硬装和软装都是好品牌。 交通出行 小区距离15号线地铁孙河站仅1.7公里（来源百度地图），有415路， 991路，专201路，935路，538路，405路等多趟公交线路，京密路，机场高速，京平高速等三条交通主干道围绕，自驾出行也比较便利。 注：1.房源介绍中的周边配套、在建设施、规划设施、地铁信息、绿化率、得房率、容积率等信息为通过物业介绍、房产证、实勘、政府官网等渠道获取，因时间、政策会发生变化，与实际情况可能略有偏差，房源介绍仅供参考。 2.房源介绍中与距离相关的数据均来源于百度地图。 3.土地使用起止年限详见业主土地证明材料或查询相关政府部门的登记文件。
4,88EE8BA5E1F873FAB2B04023BEC29890,https://bj.ke.com/ershoufang/101126868116.html?fb_expo_id=898141110583975941,此房南北通透两居，配套齐全，满五唯一商品房,365.0,万,2室1厅 底层/共11层,东 南 北 平层/精装,88.67平米 2010年建/板楼,小区名称 保利嘉园三号院 地图 所在区域 朝阳   常营  看房时间 可看时间请咨询经纪人 贝壳编号 101126868116 举报 风险提示 贝壳用户风险提示,房屋户型 2室1厅1卫 建筑面积 88.67㎡ 户型结构 平层 建筑类型 板楼 所在楼层 底层 (共11层) 咨询楼层 楼层高度 暂无数据 套内面积 75.35㎡ 房屋朝向 东 南 北 建筑结构 钢混结构 装修情况 精装 梯户比例 一梯四户 供暖方式 自供暖 配备电梯 有,挂牌时间2024年09月30日 交易权属商品房 上次交易2024年02月22日 房屋用途普通住宅 房屋年限未满两年 产权所属非共有 抵押信息无抵押 房本备件已上传房本照片,本房源特色 房源特色 VR看装修 地铁 核心卖点 所在小区是2010年保利开发商新建小区，小区有18栋楼，5栋 小区介绍 地铁：6号线常营站，地铁出行便利； ·公园：常营公园、体育公园和保利公园，各种游乐设施齐全，是平时休闲健身的好去处； ·商场：龙湖长楹天街购物商场、华联购物商场，陆港城步行街；吃喝玩乐一应俱全； ·医院：民航总医院，朝阳医院分院，就医方便。 适宜人群 刚需改善客户群体都合适居住，南北通透两室两厅，采光通风好，居住舒适；景观视野好，亲近自然，绿色盎然，心情舒畅。 周边配套 地铁：6号线常营站，地铁出行便利； ·公园：常营公园、体育公园和保利公园，各种游乐设施齐全，是平时休闲健身的好去处； ·商场：龙湖长楹天街购物商场、华联购物商场，陆港城步行街；吃喝玩乐一应俱全； ·医院：民航总医院，朝阳医院分院，就医方便。 交通出行 地铁：6号线常营站，线路贯穿北京东西； ·公交：有499，517.转39，675，639，306等公交； ·自驾：朝阳北路，常营中路，管庄路直达五环和机场高速，出行便利。 注：1.房源介绍中的周边配套、在建设施、规划设施、地铁信息、绿化率、得房率、容积率等信息为通过物业介绍、房产证、实勘、政府官网等渠道获取，因时间、政策会发生变化，与实际情况可能略有偏差，房源介绍仅供参考。 2.房源介绍中与距离相关的数据均来源于百度地图。 3.土地使用起止年限详见业主土地证明材料或查询相关政府部门的登记文件。
5,88EE8BA5E1F873FAB2B04023BEC29890,https://bj.ke.com/ershoufang/101126903504.html?fb_expo_id=898141110583975942,定福家园南里1号院，地铁6号线，2010南向,398.0,万,2室1厅 中楼层/共12层,南 平层/简装,86.6平米 2010年建/板楼,小区名称 定福家园1号院 地图 所在区域 朝阳   定福庄  看房时间 可看时间请咨询经纪人 贝壳编号 101126903504 举报 风险提示 贝壳用户风险提示,房屋户型 2室1厅1卫 建筑面积 86.6㎡ 户型结构 平层 建筑类型 板楼 所在楼层 中楼层 (共12层) 咨询楼层 楼层高度 暂无数据 套内面积 72.84㎡ 房屋朝向 南 建筑结构 钢混结构 装修情况 简装 梯户比例 一梯四户 供暖方式 自供暖 配备电梯 有,挂牌时间2024年10月04日 交易权属一类经济适用房 上次交易2011年12月01日 房屋用途普通住宅 房屋年限满五年 产权所属非共有 抵押信息无抵押 房本备件已上传房本照片,本房源特色 房源特色 满五年 VR看装修 新上 核心卖点 地铁6号线，南向户型，1梯4户，带电梯 ，2010年小区。 小区介绍 小区建成于2010年，开发商为北京城建房地产开发公司，物业公司为长城物业管理有限公司，物业费1.48元每平米每月，车位为地上租赁150元每月。 户型介绍 本房为南向户型，优势房间，客厅都比其他户型大，比较敞亮，得房高。 周边配套 黄渠公园，褡裢坡地铁站，福第超市，星悦广场，物美超市，24小时便利店，便利蜂，南城香，饭店，酒店，小吃，前一站青年路大悦城，后两站常营龙湖天街。 税费解析 本房为70年产权，有房产证，房产证已经满5年了，业主在京就这一套住房，产权清晰，随时能上市交易，用税费精算核出来的综合地价款13万左右。 交通出行 本房距离地铁6号线黄渠站300米，距离朝阳北路公交站黄渠村站100米（数据来源百度地图）。 注：1.房源介绍中的周边配套、在建设施、规划设施、地铁信息、绿化率、得房率、容积率等信息为通过物业介绍、房产证、实勘、政府官网等渠道获取，因时间、政策会发生变化，与实际情况可能略有偏差，房源介绍仅供参考。 2.房源介绍中与距离相关的数据均来源于百度地图。 3.土地使用起止年限详见业主土地证明材料或查询相关政府部门的登记文件。
6,88EE8BA5E1F873FAB2B04023BEC29890,https://bj.ke.com/ershoufang/101126865987.html?fb_expo_id=898141110583975943,福润四季A区 2室1厅 南 北,318.0,万,2室1厅 中楼层/共21层,南 北 平层/简装,74.06平米 2014年建/板塔结合,小区名称 福润四季A区 地图 所在区域 朝阳   东坝  看房时间 可看时间请咨询经纪人 贝壳编号 101126865987 举报 风险提示 贝壳用户风险提示,房屋户型 2室1厅1卫 建筑面积 74.06㎡ 户型结构 平层 建筑类型 板塔结合 所在楼层 中楼层 (共21层) 咨询楼层 楼层高度 暂无数据 套内面积 53.34㎡ 房屋朝向 南 北 建筑结构 钢混结构 装修情况 简装 梯户比例 两梯四户 供暖方式 集中供暖 配备电梯 有,挂牌时间2024年09月30日 交易权属限价商品房 上次交易2018年11月08日 房屋用途普通住宅 房屋年限满五年 产权所属非共有 抵押信息无抵押 房本备件已上传房本照片,本房源特色 房源特色 满五年 VR看装修 随时看房 暂无房源介绍
7,88EE8BA5E1F873FAB2B04023BEC29890,https://bj.ke.com/ershoufang/101126844259.html?fb_expo_id=898141110583975944,方舟苑一期 2室1厅 东,380.0,万,2室1厅 中楼层/共22层,东 平层/简装,81.37平米 1998年建/塔楼,小区名称 方舟苑一期 地图 所在区域 朝阳   望京  看房时间 可看时间请咨询经纪人 贝壳编号 101126844259 举报 风险提示 贝壳用户风险提示,房屋户型 2室1厅1卫 建筑面积 81.37㎡ 户型结构 平层 建筑类型 塔楼 所在楼层 中楼层 (共22层) 咨询楼层 楼层高度 暂无数据 套内面积 暂无 咨询套内面积 房屋朝向 东 建筑结构 钢混结构 装修情况 简装 梯户比例 两梯十户 供暖方式 集中供暖 配备电梯 有,挂牌时间2024年09月29日 交易权属商品房 上次交易2005年04月22日 房屋用途普通住宅 房屋年限满五年 产权所属非共有 抵押信息无抵押 房本备件已上传房本照片,本房源特色 房源特色 满五年 VR看装修 随时看房 暂无房源介绍
8,88EE8BA5E1F873FAB2B04023BEC29890,https://bj.ke.com/ershoufang/101126836609.html?fb_expo_id=898141110583975945,丽景馨居无遮挡2居室 近地铁6+22号线,388.0,万,2室2厅 低楼层/共22层,东 平层/精装,81.63平米 2002年建/塔楼,小区名称 丽景馨居 地图 所在区域 朝阳   甘露园  看房时间 可看时间请咨询经纪人 贝壳编号 101126836609 举报 风险提示 贝壳用户风险提示,房屋户型 2室2厅1卫 建筑面积 81.63㎡ 户型结构 平层 建筑类型 塔楼 所在楼层 低楼层 (共22层) 咨询楼层 楼层高度 暂无数据 套内面积 68.57㎡ 房屋朝向 东 建筑结构 钢混结构 装修情况 精装 梯户比例 两梯九户 供暖方式 集中供暖 配备电梯 有,挂牌时间2024年09月29日 交易权属商品房 上次交易2015年08月10日 房屋用途普通住宅 房屋年限满五年 产权所属共有 抵押信息有抵押 90万元 业主自还 房本备件已上传房本照片,本房源特色 房源特色 满五年 VR看装修 地铁 核心卖点 房子满五年家庭唯一，业主售房诚意度高，6+22号线双线地铁 小区介绍 小区是2001年的商品房，有4栋楼，24小时保安，小区有两个出入口，出北门可上朝阳路，东门可上高碑店北路。小区中间带小花园，小区于2019年底做的升级改造，建筑的保暖层、楼顶防水以及地面和花园等都做了相应的升级，现在的小区是环境优美停车有位 周边配套 小区位于东四环朝阳路路南，隶属于甘露园商圈，小区北门就是朝阳路和青年路的交叉口，东门是高碑店北路。有多个大型商场，尚街购物，朝阳大悦城，慈云寺未来汇等，配套设施完善生活便利。 交通出行 公交：小区北门外有多条公交线路，分别是快2、75、112、115、451、468、635、639等 地铁：距离小区较近的目前有两条地铁线路，六号线青年站和一号线四惠东站，除此之外在小区东北角的十字路口还有条在建的地铁线路（22号线甘露园站 注：1.房源介绍中的周边配套、在建设施、规划设施、地铁信息、绿化率、得房率、容积率等信息为通过物业介绍、房产证、实勘、政府官网等渠道获取，因时间、政策会发生变化，与实际情况可能略有偏差，房源介绍仅供参考。 2.房源介绍中与距离相关的数据均来源于百度地图。 3.土地使用起止年限详见业主土地证明材料或查询相关政府部门的登记文件。
9,88EE8BA5E1F873FAB2B04023BEC29890,https://bj.ke.com/ershoufang/101126815363.html?fb_expo_id=898141110583975946,京通苑优质两居室 业主诚心出售,315.0,万,2室1厅 中楼层/共18层,东南 平层/简装,83.56平米 塔楼,小区名称 京通苑 地图 所在区域 朝阳   管庄  看房时间 可看时间请咨询经纪人 贝壳编号 101126815363 举报 风险提示 贝壳用户风险提示,房屋户型 2室1厅1卫 建筑面积 83.56㎡ 户型结构 平层 建筑类型 塔楼 所在楼层 中楼层 (共18层) 咨询楼层 楼层高度 暂无数据 套内面积 63.74㎡ 房屋朝向 东南 建筑结构 钢混结构 装修情况 简装 梯户比例 两梯十户 供暖方式 集中供暖 配备电梯 有,挂牌时间2024年09月27日 交易权属私产 上次交易2006年07月02日 房屋用途普通住宅 房屋年限满五年 产权所属非共有 抵押信息无抵押 房本备件已上传房本照片,本房源特色 房源特色 满五年 VR看装修 随时看房 核心卖点 三轨交汇 满五年精装修 户型方正 无浪费面积 视野开阔 小区介绍 京通苑始建于2000年前后，内环又叫阳光华苑国际公寓，小区共26栋楼其中包括6栋板楼，开发商华润置地，物业公司：华润物业，内环统一物业管理有24小时的保安，每栋楼都有门禁。小区地上停车位150元月，地下停车位500元月。社区配套较为成熟 周边配套 小区枫尚奥特莱斯商场、超市、餐饮和影视国美电器、苏宁电器，芦月轩、晋味小馆、太和楼、创新高肥羊、徐家屯、麦当劳、肯德基、吉野家、金凤成祥、味多美等。工行、建行、农行、邮储银行，有常营体育公园，龙湖长楹天街，朝阳医院东院区、盒马鲜生。 交通出行 八通线管庄站（距离小区886米左右）、六号线常营站和黄渠站（乘583公交车可达）；公交车690、115、583、648等班车。南门连接朝阳路，自驾方便；东门沿小路经东十里堡路可达朝阳北路。去市里和出城去通州、燕郊都较为方便 注：1.房源介绍中的周边配套、在建设施、规划设施、地铁信息、绿化率、得房率、容积率等信息为通过物业介绍、房产证、实勘、政府官网等渠道获取，因时间、政策会发生变化，与实际情况可能略有偏差，房源介绍仅供参考。 2.房源介绍中与距离相关的数据均来源于百度地图。 3.土地使用起止年限详见业主土地证明材料或查询相关政府部门的登记文件。
